Tweets,Date
Eh kampret gamau pull banner wp,2023-04-12 05:20:56+00:00
"@InteristaLK kampret inzaghi abis ngegol lngsg pngn ngunci aja, untung bisa nambah wkwk",2023-04-12 05:17:11+00:00
kampret,2023-04-12 05:17:07+00:00
"@izurei_ ANJIR gw tadi baca replies nya yg paling atas aja, anjiiiirrrrr banget yang dibawah2 kampret banget 😰😰",2023-04-12 05:14:44+00:00
"Apasi gajelas lu. Setelah wl tu udah kelar, gada soel yg bahas cinun di twt lagi dan gada yg ngurusin juga. Lagian 3 harian ini twt adem ayem gada yg bahas cinun. Eh dinda kampret ngasih random thought alias opini jelek jadi makin rame",2023-04-12 05:12:46+00:00
orang yg kampret,2023-04-12 05:10:26+00:00
"Kampret lu min, gue udh nangis bombaiiiii,*nangis terisak isak",2023-04-12 05:07:04+00:00
"kampret gue tadi hampir aja nuduh kia ygjadi penghianat, ternyata sisil kambeng",2023-04-12 05:06:44+00:00
Game kampret wkwkwk bikin degdegan,2023-04-12 05:05:44+00:00
Apakah aku boleh kesal kecil? Huuuuuuffttttt 🥺🥺,2023-04-12 05:02:53+00:00
@dimseokchwe KAMPRET LAH TANGGAL 20 PROMMMM🤬🤬🤬🤬,2023-04-12 05:01:09+00:00
"@alfredlyonfan Unek-unek yg aku bilang ini lebih untuk bagian bawah itu sih.

Secara keseluruhan, anime kampret bernama RAG ini memang cocok dapat lebih banyak hate.",2023-04-12 04:59:00+00:00
@oxeyehase KAMPRET😭,2023-04-12 04:55:08+00:00
"@ncnirmala @kegblgnunfaedh Bukan lupa, tapi pura pura bodoh. Mending utang nya 50 rb an. Lah ini utang ampe jutaan masih bilang lupa, kan kampret.",2023-04-12 04:54:46+00:00
"Sebenarnya emang gak bisa ambil gambar di bea cukai.. 

Yg jadi masalah ini pegawai bea kampret yg seneng ambil keuntungan di setiap masalah.",2023-04-12 04:53:34+00:00
@amounori @teuverse_id @treasuremembers kampret ni emg KETIKANNYA GAK DIJAGA BANGET hadehhhhhh,2023-04-12 04:53:10+00:00
"@bestrngrr @tanyarlfes Anjay, ternyata ada captionnya di bawah. Kampret. You got me, bewch.",2023-04-12 04:52:48+00:00
@kegblgnunfaedh Gw setuju yg Karl effect sih. Emg influence negatif anjir si kampret melambai itu,2023-04-12 04:52:17+00:00
sumpah wifi gue kampret bgt,2023-04-12 04:51:36+00:00
@lvlychynsk @tanyakanrl Si kampret gak sabaran banget🤬,2023-04-12 04:51:21+00:00
"SALAH BANGET GUA BALES VANITAS SIANG SIANG 😭

Gua yang berniat menggombal malah dia yang bales lebih lagi :) kampret emang 😭 mama mau ayang kaya vanitas 😭",2023-04-12 04:47:19+00:00
"@Chaves1305 @Jhonkosmik @aniesbaswedan Klo kampret kerjaan nya terbang
Klo cebong kerja nya ngubang",2023-04-12 04:46:39+00:00
"kampret kamprett, perasaanku ga enak",2023-04-12 04:46:33+00:00
@BarcaBandidos hampir menang ehh AD nya foul kampret wkwkwkw,2023-04-12 04:42:45+00:00
"kampret salah banget gue nonton yg udh mau end siang"" udah tau pasti angst gitu 😭",2023-04-12 04:42:08+00:00
@Miphuddd11 @idextratime bang lu bercanda apa beneran? masa kegocek sm si eti kampret😭,2023-04-12 04:40:34+00:00
Gusiku antara bengkak sma sariawan.. Kek.. Buset ini skit bgt kampret,2023-04-12 04:40:01+00:00
@greenteanyam wah anjing tipu tipu itu kampret,2023-04-12 04:39:33+00:00
@KU0NDE kampret luhk bikin keseriusan w terkhianati,2023-04-12 04:35:23+00:00
@pienaajen iya lagi kampret 😭,2023-04-12 04:35:06+00:00
"Drtd online tp g dibales, kampret nih org",2023-04-12 04:30:43+00:00
@grravitasi @moonareas ICAN LU KO MUP GA BLG2 KAMPRET,2023-04-12 04:27:40+00:00
"@convomf Emang kampret sih sbg admin e-com yg kdg jg disuruh ngikut nyiapin barang. Dikata ngambilin di gudang, nyiapin trs ngemas ga pake waktu ape ya 😭 Kite tuh bukan mesin, masih manusia asdfxgh. Kurir jg manusia, dikata roro jonggrang klo event wajar telat 🤌🏻",2023-04-12 04:25:44+00:00
@yourstrulyiest WKWKWKWK KAMPRET,2023-04-12 04:23:15+00:00
w prnhah ghosting bnyk org demi 1 org yg soalnya kampret bgt. untung skrg dah no people in my world 😎😎😎😎,2023-04-12 04:21:15+00:00
@Dzstr_ @triosyalala @rozaqsam_22 @tanyarlfes Kampret baru ngeh gw.. Cetannnn..,2023-04-12 04:20:40+00:00
"Sebel bgt kampret tiap liat postingan , komenan selalu org ngeluh perkara provider anjrit",2023-04-12 04:20:12+00:00
