Tweets,Date
@yusuf_dumdum Ini JUGA biadab.... https://t.co/GTBeSdsIHt,2023-04-11 15:01:47+00:00
@k4neaa spes biadab,2023-04-11 15:01:02+00:00
"Women support women (asal yg berotak &amp; beretika)
Gw cukup prihatin krn si mbak ini tergolong korban dari laki biadab gini.
Cuma harusnya (kita) jd cewek juga mesti pinter2 &amp; berakal. ""Duda pisah ranjang"", usia 20 harusnya paham soal pernikahan. Jika dia-",2023-04-11 14:56:45+00:00
"MERDEKA ‼️

Oligarki biadab ‼️",2023-04-11 14:54:32+00:00
"@omdoajeloh @ch_chotimah2 ini #jejakDigital para Bang Sat kadrun2 ANTEK IBLIS pelaku kejahatan biadab, pelaku #intoleransi mereka akan terlaknat seumur hidup bahkan keturunannya https://t.co/m5dZxEN9n2",2023-04-11 14:51:33+00:00
"Kasian ya, aku.",2023-04-11 14:51:32+00:00
"@doodiesooth INII LETAK KARMA SI REYGAN DISEBELAH MANA YAA, APA GUE AJA YANG GEBUKIN DIA SEKARANG NGGA PUNYA HATI BANGET TOLOL FAKKK ANJING LO OTAK LO KECIL BANGET KAYA UPIL SIALAN MATI LO BIADAB KESELL ANJ ISHDDHHFFH https://t.co/q04UozmUyB",2023-04-11 14:49:05+00:00
@MCAOps Dibanding klian yg sedang memprovokasi media sosial spy opini asal²an yg klian buat itu terserap oleh mrk yg kurang pengetahuan lalu negara tdk aman...mana yg lbh biadab? Zionist yg berperang melawan palestina atau radikalis berperang melawan negaranya sendiri?,2023-04-11 14:38:05+00:00
"Biadab… tapi kita percaya bahwa Dia adalah Al-Alim, Dzat Yang Maha Mengetahui.

Sebagai manusia, semoga kita semua adalah orang yang punya hati.

Udah, gitu aja… https://t.co/lyoeW9U847",2023-04-11 14:30:36+00:00
"@abahgembos87 @permenkencrettt @mlgftbll_rsstnc LAH KON JEK BELANI KLUB BIADAB IKU?

AKU BONEK TPI SUPPORT LOH AMBEK AREK2 MALANG SING MERJUANGNO KORBAN, TAPI TETEP AREMA JANCOK

ISO BEDAKNO TA GAK",2023-04-11 14:27:30+00:00
@narkosun @DivHumas_Polri Ya allah jgn ada damai pak biar lebaran di jeruji biadab,2023-04-11 14:26:30+00:00
@ferry_kdg Ingat…JAHILLIYAH itu=BIADAB…..ya.,2023-04-11 14:25:42+00:00
@MCAOps Biadab.,2023-04-11 14:25:24+00:00
"@hoovsuk Mungkin dari retweetan?? Kalo iya dari folls biadab sihh... Sorry, tapi aku ikutan kesell😭😭",2023-04-11 14:21:48+00:00
"@txtdrpemerintah Ya bener sih tapi harusnya dari awal, jadi syarat sebelum beli kendaraan pribadi. Tujuannya biar gaada tetangga biadab yg suka ngalangin jalan umum/lahan orang pake kendaraannya",2023-04-11 14:19:54+00:00
"@TyraYusoff @rikitekafukari Exception doesn't make the rule. Skincare masih bukan nafkah asas, KECUALI ada keperluan yang dibenarkan syarak. Lain kali jangan lah sombong dan biadab. Kita bercakap soal hukum, kena dengan ilmu, bukan dengan perasaan dan emosi. Atau diam, kalau tidak tau.",2023-04-11 14:18:22+00:00
@tanyarlfes Emang kelakuan makin biadab,2023-04-11 14:16:27+00:00
"alyaa reply 'aku ni oku' pastu dia reply 'ye lah...' tak ke baur biadab ke cam tu? pastu sorang lagi hantar screenshot dlm group kutuk2 alyaa (btw alyaa dah left group pasal sekolah lama dah) ss status dia macam ni

""dia kena rest lah dah gi concert""
""lembaga kasi cuti sia""",2023-04-11 14:12:49+00:00
@narkosun @DivHumas_Polri MAU MARAH!! Biadab banget! Bukan manusia!!,2023-04-11 14:10:41+00:00
"yg ikut FGD, ToT siapa 
yg di assign case siapa 
kocak 😅",2023-04-11 14:09:57+00:00
"sistem matchmaking dota lagi biadab, losestreak 8x menang 2 kali itupun musti gue yg carry, dajjal bener 

gabisa ape gue jadi tukang bersiin creep doang anjink",2023-04-11 14:08:39+00:00
monyet lagu ini keplay kayak monyet ajg biadab,2023-04-11 14:04:48+00:00
"@RuangLucuuu Mau ngasih liat ini. 
Aku berhasil mengabadikan samsat yang indah. https://t.co/Y51b299Pbs",2023-04-11 14:02:04+00:00
bawa bawa isu yg super sensitive cmn buat cari jabatan? biadab banget,2023-04-11 13:59:51+00:00
@tanyarlfes Kamu minta pendapat ku?,2023-04-11 13:59:30+00:00
Ini biadab juga !!,2023-04-11 13:58:26+00:00
@BournAgainShell Apapun alasannya. Membiarkan anak-anak spt itu biadab. Terkesan elite Palestina sengaja menjadikan anak-anak itu korban hanya utk membangun citra Israel kejam.,2023-04-11 13:56:59+00:00
@Webee_reborn Sungguh biadab..,2023-04-11 13:54:40+00:00
"@lollyloll4a @tanyakanrl Mungkin wumbo lebih baik, Aku wumbo dia wumbo kamu wumbo aku wumbo.",2023-04-11 13:52:41+00:00
"KKB sungguh biadab

#KKBMakinBiadab",2023-04-11 13:52:13+00:00
"@tanyakanrl Balik lagi ke yang punya lahan sih pak buk. Kalo yang punya lahan merasa di untung kan dengan ada nya orang yang dateng bayar tiket misal nya, ya alhamdulillah atuh. Kalo gak ada ke untungan yang punya lahan ya baru deh kita ikut bilang. Lo olang ngentot.!!!.",2023-04-11 13:51:37+00:00
"@kegblgnunfaedh Jawab bertahan dari apa dulu nih, soal nya banyak nih. Entry masih gw tahan, berak masih gw tahan, syahwat pun masih gw tahan nih. Jadi yang mana nih. Yang jelas dong ah.",2023-04-11 13:48:49+00:00
PECAT ORANG BIADAB!,2023-04-11 13:47:02+00:00
"@regar_0p0sisi Ini sampah tak pya kerja, urusi ijazah presiden. Biadab.",2023-04-11 13:46:51+00:00
@kegblgnunfaedh ini sih menurut sy yg ngerekam yg biadab,2023-04-11 13:44:17+00:00
"Teroris biadab! Semoga petugas imigrasi yg meninggal, husnul khatimah. Aamiin...

Densus 88: 1 Petugas Imigrasi Tewas Diserang WN Uzbekistan Tersangka Teroris
 https://t.co/ynF7DQWuA2",2023-04-11 13:43:39+00:00
"@maxxprasetyo @Midjan_La_2 Hai mario, biadab kau, sudah ngentot 5X sama agnes",2023-04-11 13:43:31+00:00
Biadab. Hukum mati,2023-04-11 13:43:19+00:00
@kopidansenjaa haha biar makin dekat,2023-04-11 13:41:38+00:00
Ujian bulan april d minggu ini luar biadab bgt ya best🙃🙃🙃,2023-04-11 13:40:36+00:00
"@narkosun @DivHumas_Polri Biadab! Hewan gak jelas maen pukul! Mental pembully beraninya sama org yg lebih lemah
Tangkap dan penjarakan biar dia belajar etika di penjara!
😡",2023-04-11 13:39:37+00:00
@Bams27735590 Biadab ..😭😭,2023-04-11 13:36:29+00:00
"BIADAB! Enaknya dihukum apa ini makhluk ? 

Polisi berhasil mengungkap kasus pencabulan oleh tersangka pengasuh pondok pesantren di Kabupaten Batang dengan korban sebanyak 14 santriwati yang masih di bawah umur. https://t.co/yKOn5eVLG6",2023-04-11 13:32:32+00:00
@spyghettis anjrit agak biadab,2023-04-11 13:28:34+00:00
@marsekacI Tetepp lu lebih biadab,2023-04-11 13:27:02+00:00
"@islah_bahrawi Innalillahi, sampe ada yg meninggal. Semoga husnul khatimah.

Teroris biadab gini jangan kasih ampun. Hukum seberat²nya. Penyebaran ideologinya juga berbahaya, merusak negara dan generasi penerus bangsa.",2023-04-11 13:26:40+00:00
@hayfaaLeiaa Ye kalau yang biadab mmg i biadab balik. They still think they tua they can do or say anything. Patut yang tua la mengalah lol,2023-04-11 13:23:23+00:00
"Prilaku oknum TNI yg merusak citra TNI seperti ini lebih baik di pecat saja

BiADAB!",2023-04-11 13:20:35+00:00
Punya temen biadab,2023-04-11 13:19:16+00:00
"Tua tak tua kalau biadab, campak je balik biadab tu kat dia.",2023-04-11 13:11:02+00:00
"Weh biadab gila dia ni. Jumpa muka 3 bulan lepas tu 2 bulan rapat. Lepas tu tak move on sampai sekarang?!

Moga kau jodoh aku. Ahhahahh.",2023-04-11 13:09:08+00:00
"@radixwp @Tr1Wahyuni1990 TUHAN HASIL IMAJINASI...?

BIADAB...!!! sini lo... tak pateni kowe...

G O B L O O O K K",2023-04-11 12:59:47+00:00
"Quotes of the day yang sangat amat pantek, pukimak, en biadab dari @abcdeja4 😃 https://t.co/xJmV4kFcPe",2023-04-11 12:58:39+00:00
@kureijiollie Semuanya keliatan enak tapi menu gen 2 suka bangeet,2023-04-11 12:56:18+00:00
@radixwp @Tr1Wahyuni1990 BIADAB...! GOBLOK...!,2023-04-11 12:55:37+00:00
"Masyarakat Kudu Wajib pajak &amp; dikejar², diancam²..
Lalu kelurga yg Nagih² Pajak Tingkahnya BIADAB kayak gini👇

Mau bilang tae kok kayaknya masih kurang yaa https://t.co/ToN85JzGUG",2023-04-11 12:53:47+00:00
"@radixwp @Tr1Wahyuni1990 TUHAN HASIL IMAJINASI...????
G O B L O O O O O K

DASAR GOBLOK BIADAB

TAK PATENI RAI MU",2023-04-11 12:53:22+00:00
"@xrxruiss @rubyyy_girl @powwiyy @tanyarlfes mampuss, itu berhak buat lu biadab",2023-04-11 12:49:17+00:00
