Tweets,Date
"@tvOneNews diancukk...
hanya di negeri para bedebah maling/garong/koruptor dielu2kan....",2023-04-11 02:43:05+00:00
"negeri para bedebah, koruptor rasa pahlawan pake disambut segala ..",2023-04-11 02:27:47+00:00
makin2 aje plot NTR bedebah,2023-04-11 02:17:15+00:00
@Obay_Kusut1981 @PWibawa57 @demokrat_jakpus Hanya di negeri para bedebah koruptor disanjung2 bak pahlawan pantesan Indonesia negara terkorup di Dunia krn tdk ada efek jera lihat betapa tersanjungnya koruptor ini bagai pahlawan pdhl dia masuk bui saat SBY lengser tp muka tembok kulit badak ini tetap aja kait2kan masa lalu,2023-04-11 01:58:17+00:00
@literarybase negeri para bedebah hehe,2023-04-11 01:43:14+00:00
@OposisiCerdas Baru di negeri bedebah koruptor disanjung sanjung bak pahlawan pantesan Indonesia negara terkorup di Dunia krn tdk ada efek jera lihat betapa tersanjungnya koruptor ini bagai pahlawan pdhl dia masuk bui saat SBY lengser tp muka tembok kulit badak ini tetap aja kait2kan masa lalu,2023-04-11 01:06:25+00:00
Bedebah 😡,2023-04-10 23:58:59+00:00
Astaghfirullah pagi² dibikin emosi sm bedebah bangke,2023-04-10 23:18:52+00:00
@C_D3pp Negara rusak karena parah bedebah........,2023-04-10 23:14:38+00:00
"Berita yg akhir2 ini bikin sebel. Ini yg gede, belum yg recehan di KL, Pemda, BUMN, BUMD, dll. Para bedebah serakah ini bagusnya didoakan miskin saja. Kalau masuk penjara, penuh. Tapi kalau miskin, paling jadi pada sakit jiwa. 😬",2023-04-10 23:09:04+00:00
"@BeritakanID_com Dari awal ada KPK apa SDH menjalankan amanat dgn benar?
Semua berkasus dn gaduh itu artinya TDK penting,ngabisin anggaran saja sementara pemerintah hrs mikir bayar utang gegara para bedebah.",2023-04-10 22:45:26+00:00
@bachrum_achmadi Itulah Indonesia hampir semua maling duit rakyat diberi panggung dan tempat istimewa. Lihat aja AU nanti sm seperti Rhomahurmuzi diberi panggung kembali seolah olah menjadi pahlawan. Bicara sana sini copras capres di TV. Bedebah tdk tahu malu,2023-04-10 22:38:13+00:00
"@Haikal88651720 @pengarang_sajak Truss penganut khilafah yg di aceh cari kesenangan keluar kota nya ya, bedebah banget kelakuan mereka 🤣",2023-04-10 22:28:31+00:00
@sosmedkeras si bedebah ini jujur bgt dalam berkata kata,2023-04-10 21:41:05+00:00
@dimdim0783 Bgmn bisa terjadi seorang dgn moral yg rusak memimpin lembaga penegakan hukum ? Ini  merupakan kegagalan Total dr keberadaan lembaga pemberantasan korupsi. Wisss ancooor negoro iki…. Bener2 negara para bedebah‼️,2023-04-10 21:32:05+00:00
@MahoniHalason @Been4Q59 anarkisme diperlukan di negeri yang bedebah. Sayangnya #revolusidatangterlambat,2023-04-10 20:19:24+00:00
kenzie bedebah sih kata gua,2023-04-10 17:04:38+00:00
"Waktu awal marah sama Ichi,Ni,Yon liat Sanji dibully. makanya sempet decide buat ga ngegubris mereka. pas baca-baca lagi, they were also judge’s victim😭 bedebah emang😭",2023-04-10 16:25:45+00:00
Luka yg paling sakit adalah ketika kamu dilukai oleh seseorang yg km kira tidak akan pernah melukaimu. Sangat bedebah bukan:),2023-04-10 16:18:17+00:00
jancoq bedebah,2023-04-10 16:07:22+00:00
@YusufAlfari_02 @Thalomoan1 @aniesbaswedan Si Joko apalagi....menata kata aja gak bisa...ngomong A yg d kerjain B....,2023-04-10 16:04:25+00:00
"Jauhkan hamba dari bedebah seperti ini, yaAllah🤲",2023-04-10 16:01:53+00:00
@yusufagro @rindu_kuhilang Kader parpol juga bonekA...,2023-04-10 16:00:20+00:00
bedebah lah,2023-04-10 15:56:48+00:00
Usulan pekok....,2023-04-10 15:55:14+00:00
bedebah,2023-04-10 15:15:38+00:00
"@NUgarislucu Admin nya ODGJ yaa....
Belum khatam di RSJ lu udah kabur.
Narasi mu min... bedebah lu yah...",2023-04-10 15:11:50+00:00
"@BosPurwa Sebelum jadi menteri berarti dia termasuk penjahat, maling, tikus, bedebah.",2023-04-10 15:08:45+00:00
"bangsat bedebah gk team dragin dubbing itu nyikda gue bawa visum.sudah bukti kelakuan bejat team abi sadang itu nyiksa gue jgn seenaknya kita manusia bukan budak yg harus fisiksa terus memeknya untuk bikin cerita di film2 mereka ,dan bikin tamat hidup org dgm kasar yg luarbiasa",2023-04-10 14:09:58+00:00
"@nusantara_one Gagal ya MUNDUR..!
Hai... Kau... Disana..!
BEGO, SOK JAGO
https://t.co/P7AJKyeNab 
Dasar cukong Partai TIKUS MERAH..!
BEDEBAH. JUAL TANAH AIR..!",2023-04-10 13:54:13+00:00
Aku bacanya bedebah 😆😆,2023-04-10 13:40:29+00:00
@moucows bedebah wkwk,2023-04-10 13:33:16+00:00
Ngurus pajak bisa bikin stress juga,2023-04-10 13:02:12+00:00
"@tvOneNews KALAU NGGA KORUP NGGA KEREEEN!
BENER-BENER BEDEBAH!!!",2023-04-10 13:02:04+00:00
@inilahdotcom KENA KENCING BERACUN PARA BEDEBAH PEMILIK PABRIK!,2023-04-10 13:00:14+00:00
"@LuthfiMursal @an_ti_ka_drun Hooh si cabul dzuriyat babi antek pki kok di risaukan, wong kalok kagak cabul ya tukang ngibul tu bedebah https://t.co/bXYIsN6Ldi",2023-04-10 12:50:06+00:00
"anjimee si pala segitiga ultah anjimee. si kocak bedebah nambah tua ges! gas keun ga sii, rusuhin tempatnya",2023-04-10 12:43:09+00:00
@mazzini_gsp Lha mak banteng sendiri kerja buat kepentingan partainya kok. Bedebah emang mulutnya. Rakyat dijual2.,2023-04-10 12:27:49+00:00
Mahluk paling bedebah yg mau negaranya di pimpin para imigran,2023-04-10 12:26:09+00:00
@democrazymedia Tanda2  negeri para bedebah : ulama/ustad dikriminalisasi sementara penggarong duit rakyat dipuji....,2023-04-10 12:14:01+00:00
"Ternyata Pejabat yg Sok Suci, Menutup Peribadatan Umat Kristiani, Kelakuan Aslinya Bedebah Juga…!!!.

🤣🤣🤣🤣🔨🔨🔨🔨 https://t.co/jfDMgiOYDQ",2023-04-10 12:12:50+00:00
"@tukangaduayam @KPK_RI Emangnya Negara ini Milik NENEK MOYANGMU bisa Seenaknya Nangkap Orang tanpa Bukti, Sekelas Ketua KPK mau maksakan kehendak malah di Lawan oleh Para Penyidiknya.
Dasar BEDEBAH IDIOT.",2023-04-10 12:01:18+00:00
"@OposisiCerdas Basi, dulu diberi peluang membongkar habis2an di pengadilan, tidak dimanfaatkan atau tidak terbukti SBY terlibat. Sekarang malah koar2. 

Celakanya lagi, saat ini Anas yg notabene seorang mantan rampik dielu2kan. Negeri para bedebah",2023-04-10 11:49:07+00:00
@garber420_ Bedebah,2023-04-10 11:48:28+00:00
@_hrzlhafeez Aiyooooo nasib baik laaa aku takde mertua lagi hahahaha,2023-04-10 11:46:22+00:00
"@lanaadeIreey Apasi kontol bedebah bajingan tolol soasik tai,minimal kasi tau cwok lu yg mana tai,ngetik tu yg jelas ,biar tau cwok lu yg mana tolol",2023-04-10 11:26:59+00:00
"@kasamago @CeritaPuspa Iya bener banget, dzolim banget tuh para bedebah yang minta naik gaji terus tapi gak ada peningkatan hasil kerja.",2023-04-10 10:54:41+00:00
"@CatsieMeong Inilah negeri bedebah yg LG di kuasai Anjing2 Laper kekuasaan , Napi di kasih panggung , cacat moral di jadiin kartu As , sudah takut hanyut semua Anjing2 Peking , menunggu rakyat menjalankan perubahan 🤮🤮",2023-04-10 10:52:39+00:00
@peacxhess @convomf bedebah !!,2023-04-10 10:51:45+00:00
"Nah bener banget, bedebah banget Twitter dah :(",2023-04-10 10:49:48+00:00
Apa secepat ini karmaku berlaku?,2023-04-10 10:49:22+00:00
"@arie_gin_2 @damarjati_dimas @Subur0204 OPM membunuh warga sipil Papua dan menyerang sekolah dan fasilitas publik, lalu disebut teroris..
Lalu apa bedanya dengan GAM, JI, JAD, MIT, kelompom Abubakar Baasyir, kelompok Poso, dan sebagainya.. sama sama BEDEBAH..

Sama sama ANJING KURAP BIADAB BANGSAT",2023-04-10 10:48:24+00:00
"@democrazymedia Pokonya klo ada apa2 sama negara ini kalian para bedebah bangsa jangan lari ke luar negeri ,kalian pasti bakal di buru sama rakyat yg sudah muak sama kelakuan kalian yg sangat merusak",2023-04-10 10:47:49+00:00
Asal plus jem terok ade teaser hari raya ke ?,2023-04-10 10:46:56+00:00
"@mazzini_gsp Mempunyai ortu yg menderita stroke dan kanker paru stadium 4? Bukannya merawat ortu dikala sakit, malah kelakuannya bedebah sekali ini anak, nambah-nambahin beban keluarga.",2023-04-10 10:46:09+00:00
@itsbluetetsu GBISA EMOSI BEDEBAH ANJIR ORG2,2023-04-10 10:39:54+00:00
"@CeritaPuspa Zholim banget.. Para bedebah lebih suka menyewa jasa bodyguard ketimbang menuntaskan semangat kemanusiaan yang pada akhirnya pasti mendatangkan kesuksesan.. 
Semoga Karyawan yang di PHK lekas mendapatkan jalan penghasilan kembali dan Para Bedebah suatu saat akan memetik azabnya",2023-04-10 10:29:15+00:00
@mashermawan10 @HelmiFelis_ Bapak repotnasi.. Sengkuni bedebah,2023-04-10 10:13:33+00:00
@Telkomsel PAKET MAHAL JARINGAN KEK ASU. BEDEBAH!!,2023-04-10 09:49:45+00:00
@rthurbraga Negeri impian para bedebah,2023-04-10 09:41:40+00:00
ya memang hidup kadang suka kayak bedebah kok🖕🏻,2023-04-10 09:24:32+00:00
"@radixwp @MelodiAsyik Singapura itu tanah melayu.
Namun karena kelicikan manusia bedebah dibawah ini semua berubah.
Waspadalah Indonesia akan disingapurakan jika pribuminya msh bodoh2 https://t.co/pSMDfl1fO6",2023-04-10 08:57:14+00:00
@kafibara Bedebah,2023-04-10 08:45:09+00:00
"Hehe bedebah, 💆🏻‍♀️ https://t.co/SutuHECTMH",2023-04-10 08:44:56+00:00
Info Masjid siny nyediake Takjil😁,2023-04-10 08:40:22+00:00
"Wts want to sell
Preloved buku ori

- Janshen 39k
- Sirkus pohon 50k
- Laut bercerita 50k
-Supernova (Akar) 35k
-Tere Liye Selamat Tinggal 50k
-Daun yang jatuh tidak pernah membenci angin 50k
- sesuk 45k
- Negeri Para bedebah 55k
- Negeri di ujung tanduk 55k

Bisa shopee https://t.co/8a4HZol3Xu",2023-04-10 07:58:17+00:00
"Otak pejabatnya kebali, atau mungkin ga punya otak?? Rush hour penumpang tidak mendapatkan pelayanan dan kenyamanan yg semestinya, harusnya tarif diturunin wahai para bedebah yg digaji rakyat tp pengkhianat..asuu",2023-04-10 07:47:37+00:00
"@margianta Otak pejabatnya kebali, atau mungkin ga punya otak?? Rush hour penumpang tidak mendapatkan pelayanan dan kenyamanan yg semestinya, harusnya tarif diturunin wahai para bedebah yg digaji rakyat tp pengkhianat..asuu",2023-04-10 07:46:54+00:00
"@is_pelssy Wah siapa itu?
Yg pasti laki2 bedebah.... 😅",2023-04-10 07:06:48+00:00
The real negeri para bedebah,2023-04-10 06:59:49+00:00
@literarybase Negeri para bedebah duology sama 1984,2023-04-10 06:51:18+00:00
@tanyakanrl bedebah,2023-04-10 06:46:54+00:00
"Disuruh pemerintah untuk mencintai transportasi umum, giliran uda mulai mencintai, ehh para bedebah kontol ini malah seenak jidat naekin tarif dan seolah olah kita yg jadi pelaku utama hettick nya Ibukota.

Emang bener musti treak “KONTOLLLL!!!”",2023-04-10 06:06:17+00:00
"@SahLeoSin Hhaa pejuang kemiskinan..rumah DP 0% aja untuk YANG bergaji 7 juta ke atas,mana ada orang miskin bergaji 7 juta/bln, rusunawa dgn uang sewA yg berkali kali lipatnya dibandingin waktu jamannya Ahok..itu namanya Pejuang KEMISKINAN? Makin miskin, IYA..bedebah!",2023-04-10 05:29:25+00:00
"@virtuaIbase Good afternoon, dear. Mind to hit me up please? For real, Tere Liye adalah penulis kesukaan saya setelah Pramoedya. Saya mengikuti dengan baik karya-karya dari Tere Liye. Mulai dari negeri para bedebah sampai series Bumi. 

___",2023-04-10 05:07:07+00:00
