Tweets,Date
"@dohyie IDE SIAPA SIH, BAJINGAN.",2023-04-11 17:35:58+00:00
harusnya kena pasal berlapis nih si bajingan ini... gila lo pedophila,2023-04-11 17:34:59+00:00
@mipanzusu @kdrama_menfess Bajingan 😭😭😭,2023-04-11 17:34:03+00:00
"yang seagama kelakuan bajingan, yang baek malah beda agama, ah tolol",2023-04-11 17:33:37+00:00
bajingan,2023-04-11 17:32:42+00:00
@baesz47 @giginpraginanto BAJINGAN to BAJINGAN ‼,2023-04-11 17:32:09+00:00
bajingan,2023-04-11 17:31:52+00:00
bajingan gue lagi galau denger suara dia malah kejer anjing mana bagus lagi😭😭😭,2023-04-11 17:30:56+00:00
"Aku udah nunjukkin mannerku ga kek bajingan yang tiba² ngeghosting. Tapi kalo yg ini ga dihargain lagi, udah. GUE GA PEDULI LAGI. Mampus aja lo ga gue ladenin mau nanti kasih ucapan selamat kek. Babi.",2023-04-11 17:25:19+00:00
"Brengsek, bajingan",2023-04-11 17:25:16+00:00
"Ini kejadian sama anak angkatan kuliahku dulu, risih dipanggil kek gitu, bajingan aja sih emang, mana atitudenya kelewat jelek pula",2023-04-11 17:22:51+00:00
laki-laki bajingan https://t.co/VqgUmYI8sB,2023-04-11 17:19:11+00:00
@joyfulran BAJINGAN,2023-04-11 17:18:48+00:00
@PartaiSocmed @kurawa Rezim bajingan...,2023-04-11 17:18:08+00:00
cok kesel bajingan,2023-04-11 17:16:28+00:00
BAJINGAN KAGETBGT,2023-04-11 17:14:42+00:00
Bajingan di php cokkk untung ak lg santai bgt dan g ngebettt,2023-04-11 17:13:40+00:00
"ANJINGG CICING HEULA BENTARAN AING REK SARE BGSATTTT KONTOL BAJINGAN KEBANGUN AINGGG, IEU SARE BENERAN SANES QAILULLAH ANJJJJ",2023-04-11 17:12:49+00:00
"@SangLangit01 @DreW_JaKoB_WolF Bobrok emang.

BAJINGAN.",2023-04-11 17:12:11+00:00
hidup berjalan seperti bajingan.,2023-04-11 17:11:37+00:00
CAKEP BGT BAJINGAN😭😭😭 https://t.co/v833zQSaVc,2023-04-11 17:10:35+00:00
