Tweets,Date
@dabenone2 Yg goblok lord LBP,2023-04-11 20:13:28+00:00
"Padahal cuma anj..k2 rabies!..anj..k2 kampung yg hasut itu!!!
Goblok kuadrat!!!
Menyesal memang slalu belakangan!!!..tpi utk suatu yg tepat kembali..trkadang selalu diawali banjir darah kembali utk buat itu tepat!!!",2023-04-11 20:13:01+00:00
"@18fesss Aku kasih kata-kata buat Lakinya "" GOBLOK dan JANCOK """,2023-04-11 20:12:41+00:00
malah ketok goblok tenan ngene iki,2023-04-11 20:10:56+00:00
"@Rdnka4_ @arnasrenata @ketuartwano @asepbretwet @VcmOfPwr28 Intinya mah FDJ paling bagus sedunia, Busi, SR dan semua senior lainnya pemain2 goblok, tolol, lambat dan ga guna. Jaman udh beda, pemain tua wajib dibuang segera. Some blind fans always think like that",2023-04-11 20:10:00+00:00
"&amp;masa iya goblok kuadrat? Ktika ada oknum2 hasut utk ""khianat!/errorkan!""..
Suatu yg tepat.. &amp; bisa-bisany ada yg iyakan?&amp;mereka menyesal/tertipu..",2023-04-11 20:09:53+00:00
goblok @SLBenfica,2023-04-11 20:09:33+00:00
"@fckgasshole_ Pak kalo lu udah ga dihargain yaudah pergi, cinta boleh goblok jangan",2023-04-11 20:08:50+00:00
@idextratime Bek nya malah backpass goblok,2023-04-11 20:08:44+00:00
Goblok bat ajg back bayern,2023-04-11 20:08:21+00:00
@hondaaerox @yuliantbjm @ManCityFCID Goblok malah nyerang fisik,2023-04-11 20:08:19+00:00
Wkwk bayern goblok amat belakangnya,2023-04-11 20:07:49+00:00
"@guardian4n93l Maklum bang di Rezim inilah puncaknya kejayaan orang orang kudet

Dari kepala kudet kebawah jadi ikut ikutan goblok",2023-04-11 20:07:18+00:00
Gue goblok soalnya,2023-04-11 20:07:15+00:00
@kegblgnunfaedh Lu ga bakalan bisa merubah tabiat seseorang selama dia ga ada niat diri sendiri intinya lu goblok atau bucin pas nerima dia jadi pasangan lu,2023-04-11 20:07:09+00:00
"Lo bisa ga si diem dikit gitu lho kak, ga cape ya ? Gue gatau apa masalah lo smaa abang gue yang gue tau abang gue orang baik dan selama ini baik! Cuma orng goblok yang ungkit masa lalu org cuma buat tamengin kesalahannya sendiri! Heran hidupnya usik org lain mulu",2023-04-11 20:07:07+00:00
@SekteAxis @TheATeams_ @islah_bahrawi GOBLOK,2023-04-11 20:06:51+00:00
"tapi kalo emg masa nya udah abis, ya gapapa sih.. kenapa yaa jadi org gampang bgt nyaman sma org baru yg cma punya title ""temen virtual"" emg goblok",2023-04-11 20:06:49+00:00
"@tanyakanrl Sorry to say tp LO ITU YATIM PIATU &amp; HARUSNYA LO BERSYUKUR PUNYA KAKAK YG SAYANG SAMA LO YG RELA BIAYAIN LO KULIAH DGN HASIL JERIH PAYAHNYA DIA. DAN LO, ADEK TOLOL KONTOL JANCOK MALAH MALES MALESAN. BAYANGIN KAKAK LO G ROYAL KE LO, APA LO GA TAMBAH GOBLOK TUH G LANJUT BLJR.",2023-04-11 20:06:17+00:00
@WafiqNurI_23 @tanyakanrl S2 tpi tolol banget 😂😂 biasa makan duit haram makanya jdi goblok 😂😂. Takut masuk penjara makanya cepet2 laporin,2023-04-11 20:05:43+00:00
"Wkwk anjir, goblok juga ternyata",2023-04-11 20:04:58+00:00
emang gue goblok aja sih ya... asu lah,2023-04-11 20:04:04+00:00
@tanyarlfes Damkar cabang goblok,2023-04-11 20:03:56+00:00
"@idextratime @_pauljoyce WKWKWK MAMPUS GOBLOK, MISKIN MAH MISKIN AJA KLUB TOLOL",2023-04-11 20:00:47+00:00
