Tweets,Date
"@urmowahere @seloouth paham,tp klo gua comblangin lu skrg jatohnya lu brengsek pey",2023-04-11 17:32:33+00:00
"bukan kayaknya,emang brengsek lo mah",2023-04-11 17:32:25+00:00
"""khilaf sekali aja ngajak putus, gmn klo udh berumah tangga. aku khilaf berkali2"" opini yg jelek, mana ada khilaf berkali kali ya anjing. emng dasarnya brengsek aja sih org2 yg selingkuh itu. liat aja giliran udh putus sma selingkuhannya itu psti ngemis2 minta balik lagi",2023-04-11 17:30:52+00:00
@parallail Brengsek,2023-04-11 17:30:49+00:00
@pipukiddoss wkwkwk brengsek,2023-04-11 17:26:44+00:00
Brengsek brengsek brengsekkkk,2023-04-11 17:26:17+00:00
@convomf brengsek gue merinding,2023-04-11 17:25:59+00:00
knp y yg semi brengsek emng bkin greget🙂,2023-04-11 17:25:53+00:00
percaya aja soalnya gue yg brengsek😁🙏🏻,2023-04-11 17:25:39+00:00
@fakyukcb ngga ya brengsek,2023-04-11 17:25:34+00:00
"Brengsek, bajingan",2023-04-11 17:25:16+00:00
"brengsek ini orang lucu banget anjing, goyah dikit",2023-04-11 17:22:32+00:00
keysha cintani brengsek danava,2023-04-11 17:22:28+00:00
"Wah anying nangis gw, brengsek lu kee",2023-04-11 17:20:08+00:00
@PeluruMalam__ @dimasariiyans @jfhk1307 Brengsek peno gak wa sisan ta,2023-04-11 17:19:56+00:00
@TOPytta Brengsek. 😔💔 jawab yang bener ini gue lagi ovt. Orang yang terakhir kali gue chat gak bales lagi tapi langsung pasang pp item. 😔,2023-04-11 17:18:09+00:00
BRENGSEK LUCU BANGET,2023-04-11 17:13:48+00:00
org org kenapa jahat bgt sih brengsek lo tuh siapa sihhhhhh gue tanya. sok jagoan bgt lu gamau doain yg jelek2 krn allah maha melihat BODO AMAT sujud2 lu minta maaf drivernya nanti.,2023-04-11 17:13:45+00:00
lo brengsek se brengsek brengseknya manusia,2023-04-11 17:13:23+00:00
brengsek amat mau baca thread reply nya tag akun akun provider dll. ga jelas banget,2023-04-11 17:13:18+00:00
brengsek lo. https://t.co/JBM6D5LB02,2023-04-11 17:12:14+00:00
@fkhsnnn__ @radenrauf Brengsek mah brengsek aja,2023-04-11 17:11:39+00:00
lo mau brengsek gpp gpeduli tp pls inima sorry bgt w gbisa jd tmn lg,2023-04-11 17:11:27+00:00
"@the29thofapril ini yg putih ceritanya lagi godain yg item gitu ya? soalnya yg putih terlihat sekali aura cantik, indah, gemulai, dan sexy, nah item keliatan bgt aura menyeramkan, kuat, brengsek, dan bajingan☺",2023-04-11 17:09:20+00:00
brengsek w snyum snyum sndiri😭😭😭😭,2023-04-11 17:08:55+00:00
@Milkyboyyy19_ BRENGSEK PAKE LEWAT TO,2023-04-11 17:08:32+00:00
Brengsek laah!,2023-04-11 17:08:00+00:00
"tp demi allah ya gua beneran ga percaya laki2 samsek dah iyain ge dah, liat orang pacaran jg yakin gua tu cowo brengsek",2023-04-11 17:07:07+00:00
"@UNSfess_ brengsek mail, ngatain gue gendut bgt kah???",2023-04-11 17:04:58+00:00
"sifat org tu emg gbs diubah ya anjir, susah, skli brengsek slamanya brengsk",2023-04-11 17:04:26+00:00
"kannn dh prnh dibilg, gemini tuh brengsek anying, msi ngeyel tai",2023-04-11 17:03:38+00:00
@masmasbiasaja_ @banjarbase jadi brengsek dulu bang,2023-04-11 17:02:27+00:00
Tas xiao wibu banget brengsek gue ogah,2023-04-11 17:01:37+00:00
brengsek ecaa deact lagi,2023-04-11 17:01:25+00:00
"@farokrosman @kontakBRI @HaloBCA emang brengsek kak, laporin aja coba biar kapok",2023-04-11 17:00:57+00:00
"@wattpadmenfess_ coi gua saranin ya yang thank you and goodbye jangan dibaca pas puasa. memang happy ending, tapi di tengah tengah sesek dada no fek fek. gue sampe ikutan rasain traumanya si istri. terlalu brengsek. untung tobat",2023-04-11 16:58:00+00:00
@RadityaHunter Alhamdullilah. Makasih orang2 baik yang udah kasih info. Pencarian si Aldo Aldegar (brengsek) yaitu oknum penipuan uang eo kita ketemu. 🙏  Tentunya bakalan Kawal terus sampai tuntas! Thankss semuaaaa https://t.co/Z8jwyqyS2P,2023-04-11 16:57:48+00:00
"mau apus playlist,brengsek ga ketulungan",2023-04-11 16:56:35+00:00
