Tweet,Username,Datetime
"FIFA WC u20 ada israel, Waycos = inkonstitusional....

AWBG ada israel Waycos =  bali tuan rumah....

Inginku mengumpat.......

@cimskie @agggkh @ridhakbar_ @dedoycahoy",rioponco,2023-04-15 01:41:47+00:00
Saya gak akan pilih kalo dia nyapres. Bagi saya dia terindikasi kadrun karna menolak timnas u20 israel!!,ronin_empire13,2023-04-15 00:30:30+00:00
"@MarahIchsan Semakin jelas, penolakan keikut sertaan Israel pd WC U20 yg berujung Indonesia batal jd host, sebuah upaya menyingkirkan orang tertentu dr kancah pertarungan Pilpres 2024. Poli-tikus jorok, kasar, kotor, dan bervirus…",patrickharimo,2023-04-15 00:21:30+00:00
"Untuk U20 Koster tangan tertutup....tapi AWBG 2023 Koster tangan terbuka...

Munafik !!!
🤣🤣🤣

Gubernur I Wayan Koster Kini Sambut Israel ke Bali dengan Tangan Terbuka https://t.co/4JuFWxsqmK",simple_heart68,2023-04-14 23:46:41+00:00
@CNNIndonesia Israel cm lolos renang air terbuka n basket 3on3 yakin kalah di babak2 awal...ga bkl juara 1...ga bakal bendera n lagu kebangsaannya beredar. Ga bakal jg ditonton ratusan ribu penonton di stadion dan ratusan juta mata dr layar TV. Beda ya ama bola...so ojo dibanding2ke U20 WABC https://t.co/9WvwNNe7SU,anselmoes,2023-04-14 23:27:41+00:00
"Sekarang Terbukti Kebenarannya. Coba Kalo Piala Dunia U20 Kemarin, Tidak ""Grasa-Grusu alias Sembrono"", tentu Bola Mania Nusantara bisa menyaksikan Timnas U20 bertanding..... 🤔 

Akhirnya... World Beach Games tetap di Bali, meski Ada Atlet Israel https://t.co/HBs2jcv6zs",Alwizar69,2023-04-14 23:25:18+00:00
"@FPKSDPRRI Woi... Kemaren kau treak2 Isreal di Piala Dunia U20.. 
Sekarang WBG Bali juga ada atlet israel. Krnapa kau diam aja Todd..???",sermakeprijaya,2023-04-14 23:24:06+00:00
"@MardaniAliSera @FPKSDPRRI @PKSejahtera @JazuliJuwaini @aboebakar15 @PKS_PSREBO @fpks_mprri @PKSDKIJakarta Tod... Krmn partai kau Teriak2  Israel di Pildun U20.. 
Skrg  di WBG di Bali ada Atlet israel kau kok diam aja Tod...???? 
Dasar Partai Korupsi Sapi",sermakeprijaya,2023-04-14 23:19:05+00:00
"GIMANA PDIP, GANJAR &amp; KOSTER masih membolehkan Tim Israel utk ikut dalam World Beach Games?
Kalau dibolehkan, maka kalian masuk dalam Kelompok Terkutuk krn tidak menjalankan Amanat Konstitusi dgn baik. Dan jelas menjegal Pak Jokowi dlm gelaran PD U20.. Tegakkan konstitusi! https://t.co/DScVESMAFX",bwinarso99,2023-04-14 23:14:21+00:00
"@fallingmonstar @kurawa Sebelum ribut2 pildun u20 dan ini jg sebenarnya jelas sekali alasanya politis, karena ada even IPU di Bali dimana delegasi Israel hadir, bahkan benderanya jg berkibar, tp tidak dipermasalahkan. Konstitusi hanya sebagai kedok saja",noez_wahyudi,2023-04-14 23:10:52+00:00
