"Date","Price","Open","Close","High","Low","Vol.","Change %"
"06/20/2012",1605.90,1618.81,1605.06,1623.01,1590.90,,-0.75
"06/19/2012",1618.07,1628.51,1618.81,1633.51,1617.51,,-0.63
"06/18/2012",1628.40,1627.31,1628.51,1630.31,1607.10,,0.10
"06/15/2012",1626.76,1622.94,1627.31,1633.70,1619.59,,0.21
"06/14/2012",1623.32,1617.90,1622.94,1627.79,1610.00,,0.31
"06/13/2012",1618.35,1609.26,1617.90,1624.97,1606.20,,0.52
"06/12/2012",1610.05,1596.45,1609.26,1618.01,1586.90,,0.85
"06/11/2012",1596.45,1593.10,1596.45,1608.35,1582.89,,0.13
"06/08/2012",1594.45,1589.15,1593.10,1595.47,1562.05,,0.34
"06/07/2012",1589.00,1620.20,1589.15,1629.41,1579.75,,-1.94
"06/06/2012",1620.40,1617.20,1620.20,1641.11,1614.34,,0.20
"06/05/2012",1617.10,1619.25,1617.20,1623.91,1612.71,,-0.08
"06/04/2012",1618.40,1627.29,1619.25,1629.69,1610.71,,-0.48
"06/01/2012",1626.25,1560.45,1627.29,1630.02,1545.30,,4.20
"05/31/2012",1560.70,1563.90,1560.45,1574.30,1554.09,,-0.11
"05/30/2012",1562.45,1554.80,1563.90,1569.77,1532.10,,0.43
"05/29/2012",1555.75,1574.10,1554.80,1582.90,1548.64,,-1.12
"05/28/2012",1573.33,1574.09,1574.10,1584.00,1571.13,,-0.01
"05/25/2012",1573.45,1558.50,1574.09,1574.57,1551.90,,0.93
"05/24/2012",1559.00,1563.36,1558.50,1579.50,1553.15,,-0.19
"05/23/2012",1562.00,1569.19,1563.36,1570.35,1535.41,,-0.44
"05/22/2012",1568.95,1593.53,1569.19,1596.03,1563.29,,-1.49
"05/21/2012",1592.65,1593.65,1593.53,1600.79,1586.80,,-0.03
"05/18/2012",1593.09,1574.78,1593.65,1598.68,1569.05,,1.21
"05/17/2012",1574.00,1540.39,1574.78,1581.70,1538.80,,2.20
"05/16/2012",1540.05,1546.10,1540.39,1553.80,1529.00,,-0.28
"05/15/2012",1544.45,1557.15,1546.10,1564.06,1541.60,,-0.80
"05/14/2012",1556.85,1580.60,1557.15,1585.89,1556.00,,-1.47
"05/11/2012",1580.05,1593.87,1580.60,1595.37,1573.90,,-0.85
"05/10/2012",1593.66,1589.69,1593.87,1602.20,1586.07,,0.27
"05/09/2012",1589.34,1605.67,1589.69,1606.64,1579.78,,-0.98
"05/08/2012",1605.00,1638.57,1605.67,1639.52,1595.55,,-2.08
"05/07/2012",1639.15,1641.79,1638.57,1644.40,1634.21,,-0.22
"05/04/2012",1642.83,1636.00,1641.79,1647.27,1626.91,,0.43
"05/03/2012",1635.76,1653.26,1636.00,1653.72,1631.17,,-1.07
"05/02/2012",1653.50,1662.40,1653.26,1663.40,1646.71,,-0.52
"05/01/2012",1662.10,1666.75,1662.40,1673.20,1658.59,,-0.14
"04/30/2012",1664.36,1662.42,1666.75,1666.58,1644.98,,0.14
"04/27/2012",1662.05,1657.15,1662.42,1667.72,1650.55,,0.31
"04/26/2012",1656.90,1645.98,1657.15,1662.60,1643.15,,0.74
"04/25/2012",1644.70,1641.41,1645.98,1646.53,1624.47,,0.23
"04/24/2012",1641.00,1638.75,1641.41,1649.52,1633.95,,0.14
"04/23/2012",1638.70,1643.44,1638.75,1644.90,1621.99,,-0.24
"04/20/2012",1642.70,1643.55,1643.44,1647.31,1638.95,,-0.05
"04/19/2012",1643.60,1643.49,1643.55,1655.00,1632.80,,0.09
"04/18/2012",1642.07,1651.24,1643.49,1656.05,1639.29,,-0.47
"04/17/2012",1649.90,1652.90,1651.24,1657.71,1635.05,,-0.13
"04/16/2012",1652.10,1654.09,1652.90,1657.80,1641.14,,-0.42
"04/13/2012",1659.00,1675.55,1654.09,1678.31,1649.51,,-0.98
"04/12/2012",1675.48,1659.14,1675.55,1680.20,1651.29,,1.06
"04/11/2012",1657.95,1659.49,1659.14,1662.90,1653.44,,-0.14
"04/10/2012",1660.35,1641.13,1659.49,1663.10,1632.20,,1.16
"04/09/2012",1641.28,1641.44,1641.13,1649.00,1627.70,,0.11
"04/06/2012",1639.49,1628.95,1641.44,1639.49,1628.49,,0.51
"04/05/2012",1631.25,1620.36,1628.95,1633.67,1620.15,,0.68
"04/04/2012",1620.23,1644.64,1620.36,1648.15,1612.30,,-1.53
"04/03/2012",1645.33,1676.59,1644.64,1681.16,1639.24,,-1.93
"04/02/2012",1677.75,1668.55,1676.59,1680.09,1676.20,,0.53
"03/30/2012",1668.90,1661.55,1668.55,1671.11,1659.91,,0.45
"03/29/2012",1661.38,1661.94,1661.55,1665.29,1645.39,,-0.05
"03/28/2012",1662.18,1680.21,1661.94,1684.41,1655.11,,-1.06
"03/27/2012",1680.05,1690.30,1680.21,1696.81,1679.11,,-0.59
